"Dia da semana","Inscritos no turno","Curso","Unidade Curricular","Turno","Lotação da sala","Turma","Sala atribuída à aula","Hora início da aula","Hora fim da aula","Data da aula"
"Sex","30","ME","Teoria dos Jogos e dos Contratos","01789TP01","34","MEA1","AA2.25","13:00:00","14:30:00","02/12/2022"
"Qua","30","ME","Teoria dos Jogos e dos Contratos","01789TP01","34","MEA1","AA2.25","13:00:00","14:30:00","23/11/2022"
"Qua","30","ME","Teoria dos Jogos e dos Contratos","01789TP01","34","MEA1","AA2.25","13:00:00","14:30:00","16/11/2022"
"Qua","30","ME","Teoria dos Jogos e dos Contratos","01789TP01","34","MEA1","AA2.25","13:00:00","14:30:00","09/11/2022"
"Qua","30","ME","Teoria dos Jogos e dos Contratos","01789TP01","34","MEA1","AA2.25","13:00:00","14:30:00","02/11/2022"
"Seg","30","ME","Teoria dos Jogos e dos Contratos","01789TP01","34","MEA1","AA2.25","13:00:00","14:30:00","28/11/2022"
"Seg","30","ME","Teoria dos Jogos e dos Contratos","01789TP01","34","MEA1","AA2.25","13:00:00","14:30:00","21/11/2022"
"Seg","30","ME","Teoria dos Jogos e dos Contratos","01789TP01","34","MEA1","AA2.25","13:00:00","14:30:00","14/11/2022"
"Seg","30","ME","Teoria dos Jogos e dos Contratos","01789TP01","34","MEA1","AA2.25","13:00:00","14:30:00","07/11/2022"
"Ter","30","ME","Teoria dos Jogos e dos Contratos","01789TP01","34","MEA1","AA2.25","13:00:00","14:30:00","29/11/2022"
"Ter","30","ME","Teoria dos Jogos e dos Contratos","01789TP01","34","MEA1","AA2.25","13:00:00","14:30:00","22/11/2022"
"Ter","30","ME","Teoria dos Jogos e dos Contratos","01789TP01","34","MEA1","AA2.25","13:00:00","14:30:00","15/11/2022"
"Ter","30","ME","Teoria dos Jogos e dos Contratos","01789TP01","34","MEA1","AA2.25","13:00:00","14:30:00","08/11/2022"
"Sex","30","ME","Teoria dos Jogos e dos Contratos","01789TP01","30","MEA1","AA2.26","10:30:00","12:00:00","04/11/2022"
"Sex","30","ME","Teoria dos Jogos e dos Contratos","01789TP01","30","MEA1","AA2.26","12:00:00","13:30:00","04/11/2022"
"Sex","30","ME","Teoria dos Jogos e dos Contratos","01789TP01","34","MEA1","AA2.25","14:30:00","16:00:00","02/12/2022"
"Seg","30","ME","Teoria dos Jogos e dos Contratos","01789TP01","34","MEA1","AA2.25","14:30:00","16:00:00","28/11/2022"
"Seg","30","ME","Teoria dos Jogos e dos Contratos","01789TP01","34","MEA1","AA2.25","14:30:00","16:00:00","21/11/2022"
